,cols,mod_hp,max_accu,max_auc_sc,max_bal_acc,max_brier_lss,max_f_acc,max_log_lss,mdn_accu,mdn_auc_sc,mdn_bal_acc,mdn_brier_lss,mdn_f_acc,mdn_log_lss,mean_accu,mean_auc_sc,mean_bal_acc,mean_brier_lss,mean_f_acc,mean_log_lss,min_accu,min_auc_sc,min_bal_acc,min_brier_lss,min_f_acc,min_log_lss,std_accu,std_auc_sc,std_bal_acc,std_brier_lss,std_f_acc,std_log_lss,win_perc,mean_rank,min_rank,max_rank
6474,"['diff', 'color', 'game_time', 'game_num']",knn39.0,0.7872666666666667,0.8417333333333333,0.7866,0.23563333333333333,0.7858999999999999,0.6663,0.6783666666666667,0.7458666666666667,0.6749666666666666,0.20776666666666668,0.6571,0.5998000000000001,0.6660413333333333,0.7438773333333332,0.6665093333333333,0.20639333333333335,0.6533946666666668,0.5997373333333335,0.5414333333333333,0.6373666666666666,0.5537000000000001,0.17276666666666665,0.49416666666666664,0.5245666666666667,0.06025319627830215,0.05369184834740509,0.05867755469928517,0.017728754549402415,0.07545011255729954,0.03952959627069364,0.48900000000000005,3191.768469050941,3798.232899525073,6705.290014833479
5996,"['diff', 'game_time', 'game_num']",knn39.0,0.7855,0.8437666666666667,0.7852666666666667,0.23663333333333333,0.7871666666666667,0.6693666666666668,0.6731333333333334,0.7486,0.6786333333333333,0.207,0.6597333333333334,0.5973,0.6665386666666667,0.7447280000000002,0.6670333333333334,0.20627600000000004,0.6525040000000001,0.5998013333333332,0.5309,0.6345,0.5457666666666666,0.1714,0.4832666666666667,0.5216666666666666,0.06372009257889931,0.05521420617281606,0.061879130843682885,0.018104211306376815,0.0804881444361936,0.040595503095133906,0.48699999999999993,2977.8345867220196,5099.7906772343185,6218.12643508829
10182,"['diff', 'game_time', 'weekday']",knn39.0,0.7521333333333334,0.8335333333333333,0.7541333333333333,0.2368333333333333,0.7743333333333333,0.6703666666666667,0.6678333333333333,0.7484000000000001,0.6730333333333333,0.2081666666666667,0.6548666666666666,0.6012666666666666,0.6610373333333334,0.739048,0.6615386666666666,0.207244,0.6459960000000001,0.6018493333333333,0.5502333333333334,0.6280333333333333,0.5631333333333334,0.17353333333333332,0.4942,0.5250666666666667,0.054966792558943434,0.05285743084197377,0.052608235431885635,0.0174622142955794,0.07172237292418424,0.0394089544440479,0.48333333333333334,5489.302242488175,3157.0402609017465,13647.76773921525
6936,"['diff', 'game_time', 'weekday', 'game_num']",knn38.0,0.7802333333333333,0.8425333333333334,0.7811666666666667,0.2376,0.7845,0.6709999999999999,0.6626,0.7414,0.6676333333333334,0.20703333333333332,0.6492,0.5985666666666667,0.665544,0.7398906666666667,0.6655266666666667,0.2071346666666667,0.642284,0.6015653333333333,0.5467,0.6277333333333334,0.5435333333333333,0.17266666666666666,0.4782666666666667,0.5238999999999999,0.061123129877065696,0.056512611725193534,0.05937981339744658,0.018392879946032923,0.07820351058401566,0.0413741271868062,0.4603333333333333,4499.221594582638,4901.832248812682,7182.279072602768
9250,"['diff', 'game_time']",knn39.0,0.7592,0.834,0.7576666666666667,0.23756666666666668,0.7600666666666666,0.6710666666666666,0.6678333333333333,0.7444333333333333,0.6644333333333333,0.20656666666666665,0.6519333333333334,0.5983333333333333,0.662656,0.741176,0.6625946666666667,0.2069146666666667,0.648108,0.600916,0.5537,0.6232333333333333,0.5562666666666667,0.17433333333333334,0.47406666666666664,0.5262666666666668,0.05533809430899126,0.0530268841253821,0.053866473702843885,0.017364094632680637,0.0749832929177716,0.03913863727033166,0.486,4878.675094429509,3937.6349225929816,14659.899315221588
7423,"['diff', 'color', 'game_time']",knn34.0,0.7732000000000001,0.8398666666666667,0.769,0.23760000000000003,0.7613666666666666,0.6711333333333332,0.6608333333333333,0.7376999999999999,0.6582666666666667,0.2063,0.628,0.5974,0.6649773333333333,0.7404866666666666,0.663812,0.2068186666666667,0.640032,0.6006173333333333,0.5695,0.6284,0.5666333333333333,0.1728666666666667,0.5072333333333333,0.5237333333333334,0.05239623231796637,0.05239828270820774,0.05114066237257642,0.017998222982025334,0.06477698574254219,0.04124187214925103,0.4523333333333334,4840.265253343315,2349.3396502806395,11300.160145693211
7690,"['diff', 'color', 'time', 'weekday']",lda0.0,0.7574333333333333,0.8295333333333333,0.7596333333333334,0.23866666666666667,0.7632666666666666,0.6713999999999999,0.6555666666666667,0.7258,0.6619666666666667,0.2243666666666667,0.6685333333333334,0.6438666666666667,0.6646146666666667,0.7282120000000001,0.666064,0.22063999999999998,0.6653786666666667,0.6324386666666667,0.58,0.6326333333333333,0.5722999999999999,0.18443333333333334,0.5242666666666667,0.5454666666666667,0.05237741278759739,0.046619751265435966,0.05349423211668581,0.013426293054652287,0.06329915001405273,0.03149741262100811,0.525,7555.9303433490995,1622.9568864491462,14984.64392030561
6928,"['diff', 'color', 'game_time', 'game_num']",knn38.0,0.775,0.8422333333333333,0.7751333333333333,0.23863333333333334,0.7788,0.6714333333333333,0.6801666666666666,0.7494999999999999,0.6726666666666667,0.20593333333333333,0.6499666666666667,0.5956333333333333,0.6655653333333333,0.7433839999999999,0.6651933333333333,0.20661733333333335,0.6407106666666667,0.6002359999999999,0.5449666666666667,0.6243,0.5506666666666667,0.17149999999999999,0.4804333333333333,0.5211333333333333,0.06266337890300044,0.0560812731739364,0.06014904792776182,0.018380198518974742,0.07943575674218255,0.04121610339425871,0.4573333333333333,4188.548507843604,4648.623018565349,8029.378035275233
5995,"['diff', 'game_time', 'game_num']",knn38.0,0.7837666666666667,0.8452000000000001,0.7831666666666667,0.23773333333333335,0.7833333333333333,0.6717000000000001,0.6661333333333334,0.7484000000000001,0.6742666666666667,0.20650000000000002,0.659,0.5959666666666666,0.6665493333333333,0.7441840000000001,0.6665253333333333,0.206352,0.6423373333333333,0.5998693333333335,0.5397,0.6290333333333333,0.5549,0.17096666666666668,0.4742,0.5199666666666667,0.06346730016530615,0.056149482257742196,0.060910720633893835,0.018413751176493742,0.08152085404520301,0.04139020222748482,0.459,3664.745465682104,4388.141460556345,6039.092186007762
9141,"['diff', 'color', 'game_time', 'weekday']",knn39.0,0.7504333333333334,0.8273666666666667,0.7505333333333333,0.2379,0.7582,0.6717333333333334,0.6696,0.7453,0.6692333333333335,0.20876666666666668,0.6591333333333332,0.6016333333333334,0.6627999999999998,0.7382466666666666,0.6633226666666666,0.20740133333333333,0.6459760000000001,0.6021026666666668,0.5519666666666667,0.6217666666666667,0.5643666666666666,0.1751,0.48950000000000005,0.5281333333333333,0.05258621139969166,0.05240584629704045,0.050100434600244985,0.017222873767064963,0.06869156184273131,0.038673463282703296,0.47766666666666663,5203.818865484738,3352.920881391477,15870.480741877147
