,a
2,"{""1w"":""e4^0:09:59.9"", ""1b"":""e5^0:09:59.5"", ""2w"":""Nf3^0:09:59.4"", ""2b"":""Nc6^0:09:58.3"", ""3w"":""Bc4^0:09:55.3"", ""3b"":""h6^0:09:56.3"", ""4w"":""d3^0:09:48.4"", ""4b"":""Nf6^0:09:55"", ""5w"":""b3^0:09:46.2"", ""5b"":""Bc5^0:09:46.9"", ""6w"":""Qe2^0:09:40"", ""6b"":""Ng4^0:09:39"", ""7w"":""Be3^0:09:36.9"", ""7b"":""Bb4+^0:09:33.1"", ""8w"":""c3^0:09:31.3"", ""8b"":""Nxe3^0:09:23.3"", ""9w"":""Qxe3^0:09:26.3"", ""9b"":""Bd6^0:09:14.4"", ""10w"":""d4^0:09:18.3"", ""10b"":""exd4^0:09:12.2"", ""11w"":""cxd4^0:09:17.9"", ""11b"":""O-O^0:09:10.8"", ""12w"":""d5^0:09:16.9"", ""12b"":""Ne5^0:09:08.4"", ""13w"":""Nxe5^0:09:14.1"", ""13b"":""Bxe5^0:09:06.4"", ""14w"":""O-O^0:09:13.7"", ""14b"":""Bxa1^0:09:05"", ""15w"":""Nd2^0:09:10.2"", ""15b"":""Be5^0:09:00"", ""16w"":""g3^0:08:56.8"", ""16b"":""d6^0:08:57"", ""17w"":""Qf3^0:08:55.4"", ""17b"":""Bh3^0:08:45.8"", ""18w"":""Re1^0:08:53.7"", ""18b"":""Bc3^0:08:40.9"", ""19w"":""Qxc3^0:08:45.7"", ""19b"":""Qg5^0:08:30.6"", ""20w"":""Bf1^0:08:17"", ""20b"":""Bxf1^0:08:23"", ""21w"":""Rxf1^0:08:15.7"", ""21b"":""f5^0:08:20.6"", ""22w"":""Nf3^0:08:13"", ""22b"":""Qg4^0:08:15"", ""23w"":""exf5^0:07:46.9"", ""23b"":""Rxf5^0:08:07.2"", ""24w"":""Qe3^0:07:39.1"", ""24b"":""Rxf3^0:08:03.6"", ""25w"":""Qe2^0:07:22.4"", ""25b"":""Raf8^0:07:34"", ""26w"":""Qe7^0:06:58"", ""26b"":""Rxf2^0:07:26.3"", ""27w"":""Rxf2^0:06:51.9"", ""27b"":""Qd1+^0:07:18.9"", ""28w"":""Kg2^0:06:44.4"", ""28b"":""Rxf2+^0:07:12.2"", ""29w"":""Kxf2^0:06:42.4"", ""29b"":""Qd4+^0:07:06.4"", ""30w"":""Ke2^0:06:34.7"", ""30b"":""Qb2+^0:06:30.7"", ""31w"":""Ke3^0:06:21.1"", ""31b"":""Qc1+^0:06:23.5"", ""32w"":""Ke4^0:06:16"", ""32b"":""Qe1+^0:06:19.5"", ""33w"":""Kf5^0:06:04.9"", ""33b"":""Qxe7^0:06:06.1"", ""34w"":""Kg6^0:06:04.6"", ""34b"":""Qe4+^0:05:54.3"", ""35w"":""Kh5^0:05:57.6"", ""35b"":""Qxd5+^0:05:47"", ""36w"":""Kh4^0:05:57.3"", ""36b"":""Qg5+^0:05:36.5"", ""37w"":""Kh3^0:05:57.1"", ""37b"":""d5^0:05:29.4"", ""38w"":""g4^0:05:54.2"", ""38b"":""d4^0:05:27.7"", ""39w"":""Kg2^0:05:52.7"", ""39b"":""d3^0:05:27.1"", ""40w"":""Kf2^0:05:52.1"", ""40b"":""d2^0:05:25.8"", ""41w"":""Ke2^0:05:51.8"", ""41b"":""Qd5^0:05:22.5"", ""42w"":""Kd1^0:05:50.9"", ""42b"":""Qd3^0:05:19.1"", ""43w"":""h4^0:05:48"", ""43b"":""Qe3^0:05:14.3"", ""44w"":""Kc2^0:05:38.8"", ""44b"":""Qe1^0:05:11.7"", ""45w"":""g5^0:05:34.1"", ""45b"":""hxg5^0:05:09"", ""46w"":""hxg5^0:05:32.9"", ""46b"":""d1=Q+^0:05:07.4"", ""47w"":""Kb2^0:05:30.6"", ""47b"":""Qg4^0:05:04"", ""48w"":""Ka3^0:05:26.3"", ""48b"":""Qxg5^0:04:45.1"", ""49w"":""Kb2^0:05:22.7"", ""49b"":""Qd8^0:04:43.6"", ""50w"":""Ka3^0:05:21.5"", ""50b"":""g5^0:04:40.3"", ""51w"":""Kb2^0:05:21.1"", ""51b"":""g4^0:04:33.4"", ""52w"":""Ka3^0:05:20.5"", ""52b"":""g3^0:04:32.6"", ""53w"":""Kb2^0:05:20.2"", ""53b"":""g2^0:04:30.3"", ""54w"":""Ka3^0:05:20"", ""54b"":""g1=Q^0:04:29"", ""55w"":""Kb2^0:05:19.8"", ""55b"":""c5^0:04:27.2"", ""56w"":""Ka3^0:05:19.4"", ""56b"":""b5^0:04:25.4"", ""57w"":""Kb2^0:05:18.4"", ""57b"":""Qe2+^0:04:15.9"", ""58w"":""Ka3^0:05:17.6"", ""58b"":""b4+^0:04:11.3"", ""59w"":""Ka4^0:05:13"", ""59b"":""Qxa2+^0:04:08.3"", ""60w"":""Kb5^0:05:12.7"", ""60b"":""Qxb3^0:04:04.1"", ""61w"":""Ka6^0:05:09"", ""61b"":""c4^0:03:56"", ""62w"":""Kb5^0:05:06.2"", ""62b"":""c3^0:03:48.3"", ""63w"":""Ka6^0:04:04.1"", ""63b"":""c2^0:03:44.2"", ""64w"":""Kb5^0:03:57.1"", ""64b"":""Qdd5+^0:03:40"", ""65w"":""Ka6^0:03:55.5"", ""65b"":""c1=Q^0:03:35.1""}"
4,"{""1w"":""d4^0:09:57.5"", ""1b"":""d5^0:09:58.7"", ""2w"":""e3^0:09:55.1"", ""2b"":""h6^0:09:43.1"", ""3w"":""Nf3^0:09:48.3"", ""3b"":""a6^0:09:42.2"", ""4w"":""Bd3^0:09:45.3"", ""4b"":""Nc6^0:09:32.1"", ""5w"":""O-O^0:09:35.8"", ""5b"":""Nf6^0:09:31.5"", ""6w"":""Re1^0:09:33"", ""6b"":""e6^0:09:26.2"", ""7w"":""a3^0:09:30.8"", ""7b"":""Bd6^0:09:23.9"", ""8w"":""e4^0:09:28.1"", ""8b"":""dxe4^0:09:18.2"", ""9w"":""Bxe4^0:09:25.4"", ""9b"":""Nxe4^0:09:15.2"", ""10w"":""Rxe4^0:09:23.9"", ""10b"":""O-O^0:09:14.4"", ""11w"":""Re1^0:09:21.5"", ""11b"":""Na5^0:08:39.8"", ""12w"":""Nc3^0:09:09"", ""12b"":""Nc4^0:08:37.5"", ""13w"":""Ne5^0:08:48.6"", ""13b"":""Bxe5^0:08:33.7"", ""14w"":""dxe5^0:08:42"", ""14b"":""Qxd1^0:08:33.2"", ""15w"":""Rxd1^0:08:39.6"", ""15b"":""Nxe5^0:08:32.3"", ""16w"":""Bf4^0:08:26.6"", ""16b"":""Nc4^0:08:27.6"", ""17w"":""b3^0:08:23.7"", ""17b"":""Nb2^0:08:20.8"", ""18w"":""Re1^0:08:11.1"", ""18b"":""Re8^0:08:08.6"", ""19w"":""Be5^0:07:58.1"", ""19b"":""b5^0:07:53.1"", ""20w"":""Rab1^0:07:56.2"", ""20b"":""b4^0:07:39"", ""21w"":""Ne2^0:07:48"", ""21b"":""bxa3^0:07:36.7"", ""22w"":""Bxb2^0:07:41.8"", ""22b"":""axb2^0:07:35.5"", ""23w"":""Rxb2^0:07:39"", ""23b"":""Bb7^0:07:32.8"", ""24w"":""Rbb1^0:07:32.7"", ""24b"":""Be4^0:07:22"", ""25w"":""Rbc1^0:07:26.8"", ""25b"":""Red8^0:07:09.7"", ""26w"":""c4^0:07:19.6"", ""26b"":""Bd3^0:07:02.9"", ""27w"":""Nf4^0:07:13.6"", ""27b"":""c5^0:06:39.4"", ""28w"":""Rcd1^0:07:03.5"", ""28b"":""Rd4^0:06:34.6"", ""29w"":""Nxd3^0:06:59.2"", ""29b"":""Rad8^0:06:31.1"", ""30w"":""Re3^0:06:49.3"", ""30b"":""R8d6^0:06:20.3"", ""31w"":""h3^0:06:41.1"", ""31b"":""f5^0:06:16.2"", ""32w"":""g3^0:06:35.3"", ""32b"":""g5^0:06:07.8"", ""33w"":""Kg2^0:06:30.6"", ""33b"":""f4^0:06:04.6"", ""34w"":""gxf4^0:06:29.2"", ""34b"":""gxf4^0:06:04.1"", ""35w"":""Rf3^0:05:55.4"", ""35b"":""e5^0:05:59.2"", ""36w"":""Re1^0:05:32.3"", ""36b"":""e4^0:05:50.4"", ""37w"":""Rxf4^0:05:27.6"", ""37b"":""exd3^0:05:47.4"", ""38w"":""Rxd4^0:05:24.6"", ""38b"":""Rxd4^0:05:46.3"", ""39w"":""Rd1^0:05:22.3"", ""39b"":""d2^0:05:42.6"", ""40w"":""f3^0:05:19.7"", ""40b"":""Rd3^0:05:41.6"", ""41w"":""Kf2^0:05:17.1"", ""41b"":""Kg7^0:05:38.4"", ""42w"":""Ke2^0:05:14.3"", ""42b"":""Kf6^0:05:38"", ""43w"":""Rxd2^0:05:11.2"", ""43b"":""Rxd2+^0:05:36.4"", ""44w"":""Kxd2^0:05:08.4"", ""44b"":""Kf5^0:05:36.1"", ""45w"":""Ke3^0:05:05.4"", ""45b"":""h5^0:05:34.2"", ""46w"":""h4^0:05:02"", ""46b"":""a5^0:05:33.5"", ""47w"":""Kd3^0:04:45.6"", ""47b"":""Kf4^0:05:29.2"", ""48w"":""Ke2^0:04:43.4"", ""48b"":""Kg3^0:05:24.4"", ""49w"":""Ke3^0:04:40.5"", ""49b"":""Kxh4^0:05:20.8"", ""50w"":""f4^0:04:37.8"", ""50b"":""Kg4^0:05:19.9"", ""51w"":""Ke4^0:04:36.4"", ""51b"":""h4^0:05:11.1"", ""52w"":""f5^0:04:35.8"", ""52b"":""Kg5^0:05:10.4"", ""53w"":""Ke5^0:04:33.9"", ""53b"":""h3^0:05:09.2"", ""54w"":""f6^0:04:32.9"", ""54b"":""Kg6^0:05:08.1"", ""55w"":""Ke6^0:04:30.8"", ""55b"":""h2^0:05:00.8"", ""56w"":""f7^0:04:29.6"", ""56b"":""Kg7^0:04:58.2"", ""57w"":""Ke7^0:04:27.8"", ""57b"":""h1=Q^0:04:39.6"", ""58w"":""f8=Q+^0:04:25.4"", ""58b"":""Kg6^0:04:32.7"", ""59w"":""Qf7+^0:04:22.9"", ""59b"":""Kg5^0:04:29.9"", ""60w"":""Qf6+^0:04:19.7"", ""60b"":""Kg4^0:04:29.1"", ""61w"":""Qg6+^0:03:51"", ""61b"":""Kf4^0:04:22.9"", ""62w"":""Qd6+^0:03:46.6"", ""62b"":""Ke3^0:04:15.9"", ""63w"":""Qxc5+^0:03:44.8"", ""63b"":""Kd2^0:04:14.2"", ""64w"":""Qxa5+^0:03:42.3"", ""64b"":""Kd3^0:04:13.8"", ""65w"":""c5^0:03:40.8"", ""65b"":""Qe4+^0:04:09.9"", ""66w"":""Kd7^0:03:38.4"", ""66b"":""Qd5+^0:04:08.7"", ""67w"":""Kc7^0:03:35"", ""67b"":""Qf7+^0:04:04.8"", ""68w"":""Kb6^0:03:28.1"", ""68b"":""Qxb3+^0:04:03.3"", ""69w"":""Qb5+^0:03:25.1"", ""69b"":""Qxb5+^0:04:02"", ""70w"":""Kxb5^0:03:24"", ""70b"":""Kd4^0:04:01.2"", ""71w"":""c6^0:03:22.9"", ""71b"":""Kd5^0:04:00.7"", ""72w"":""Kb6^0:03:21.9"", ""72b"":""Kd6^0:04:00.3"", ""73w"":""c7^0:03:20.9"", ""73b"":""Kd7^0:03:59.7"", ""74w"":""Kb7^0:03:19.1"", ""74b"":""Kd6^0:03:55.2"", ""75w"":""c8=Q^0:03:17"", ""75b"":""Kd5^0:03:54.1"", ""76w"":""Kb6^0:03:14.1"", ""76b"":""Ke5^0:03:51"", ""77w"":""Kc6^0:03:10.9"", ""77b"":""Kd4^0:03:49.6"", ""78w"":""Qe6^0:03:06.7"", ""78b"":""Kd3^0:03:43.5"", ""79w"":""Kc5^0:03:05.1"", ""79b"":""Kc3^0:03:41.2"", ""80w"":""Qd5^0:03:01.7"", ""80b"":""Kc2^0:03:37.4"", ""81w"":""Kc4^0:03:00.3"", ""81b"":""Kb2^0:03:34.9"", ""82w"":""Kb4^0:02:58.7"", ""82b"":""Kc2^0:03:34"", ""83w"":""Qd4^0:02:55.8"", ""83b"":""Kc1^0:03:29.7"", ""84w"":""Kb3^0:02:52.2"", ""84b"":""Kb1^0:03:28.9"", ""85w"":""Qc3^0:02:49.2""}"
6,"{""1w"":""d4^0:09:57.9"", ""1b"":""d5^0:09:58.8"", ""2w"":""h3^0:09:55.5"", ""2b"":""Nc6^0:09:57.2"", ""3w"":""e3^0:09:53.6"", ""3b"":""Bd7^0:09:52.5"", ""4w"":""a3^0:09:50.8"", ""4b"":""Nf6^0:09:49.7"", ""5w"":""Nc3^0:09:45.9"", ""5b"":""e5^0:09:41.4"", ""6w"":""dxe5^0:09:34.5"", ""6b"":""Nxe5^0:09:39.7"", ""7w"":""Nxd5^0:09:33.2"", ""7b"":""Nxd5^0:09:36.6"", ""8w"":""Qxd5^0:09:31.5"", ""8b"":""Nc6^0:08:45.1"", ""9w"":""Bb5^0:09:19.9"", ""9b"":""Be6^0:08:44"", ""10w"":""Bxc6+^0:09:11.6"", ""10b"":""bxc6^0:08:32.5"", ""11w"":""Qxc6+^0:09:09.6"", ""11b"":""Ke7^0:07:58"", ""12w"":""Nf3^0:08:54.7"", ""12b"":""Bd5^0:07:53.6"", ""13w"":""Qc5+^0:08:28.9"", ""13b"":""Ke8^0:07:36"", ""14w"":""e4^0:08:09.9"", ""14b"":""Bxc5^0:07:34"", ""15w"":""Bg5^0:08:01.8"", ""15b"":""Qd7^0:07:22"", ""16w"":""exd5^0:07:57.1"", ""16b"":""Qxd5^0:07:16.3"", ""17w"":""O-O^0:07:55.8"", ""17b"":""f6^0:06:47.9"", ""18w"":""Rfe1+^0:07:49"", ""18b"":""Kf7^0:06:47"", ""19w"":""Rad1^0:07:39.9"", ""19b"":""Qf5^0:06:09.4"", ""20w"":""Bh4^0:07:16.7"", ""20b"":""Rhe8^0:05:51.9"", ""21w"":""g4^0:06:59.7"", ""21b"":""Qxf3^0:05:38"", ""22w"":""Rd7+^0:06:57"", ""22b"":""Kg6^0:05:23.3"", ""23w"":""Rxc7^0:06:46.1"", ""23b"":""Qxh3^0:04:55.3"", ""24w"":""Bg3^0:06:05.8"", ""24b"":""Rxe1#^0:04:41.4""}"
8,"{""1w"":""Nc3^0:09:55.6"", ""1b"":""e5^0:09:58.4"", ""2w"":""Nf3^0:09:52.2"", ""2b"":""Nc6^0:09:54.6"", ""3w"":""h3^0:09:41.4"", ""3b"":""Nf6^0:09:51.6"", ""4w"":""a3^0:09:39.3"", ""4b"":""e4^0:09:50"", ""5w"":""Nh4^0:09:29.7"", ""5b"":""d5^0:09:37.5"", ""6w"":""e3^0:09:23.6"", ""6b"":""Nh5^0:09:09.8"", ""7w"":""Qxh5^0:09:15.3"", ""7b"":""Be7^0:09:01.1"", ""8w"":""g3^0:09:06.5"", ""8b"":""Bxh4^0:08:58.3"", ""9w"":""gxh4^0:09:04.2"", ""9b"":""g6^0:08:56.5"", ""10w"":""Qh6^0:08:56.3"", ""10b"":""d4^0:08:51.1"", ""11w"":""Nxe4^0:08:46.1"", ""11b"":""dxe3^0:08:43"", ""12w"":""fxe3^0:08:42"", ""12b"":""Ne5^0:08:37.1"", ""13w"":""Qg7^0:08:32.2"", ""13b"":""Nf3+^0:08:20.5"", ""14w"":""Kd1^0:08:25.4"", ""14b"":""Kd7^0:08:09.5"", ""15w"":""Qxf7+^0:08:18.2"", ""15b"":""Kc6^0:07:57.8"", ""16w"":""Qxf3^0:07:59.8"", ""16b"":""Bf5^0:07:56.9"", ""17w"":""h5^0:07:36.4"", ""17b"":""Rf8^0:07:23.6"", ""18w"":""Nc3+^0:07:03.9"", ""18b"":""Kb6^0:06:56.7"", ""19w"":""Na4+^0:06:37"", ""19b"":""Ka5^0:06:47.2"", ""20w"":""b4+^0:06:26.8"", ""20b"":""Kxa4^0:06:45.3"", ""21w"":""Qxb7^0:06:06.3"", ""21b"":""Qe7^0:05:05.1"", ""22w"":""Qb5#^0:05:55.9""}"
10,"{""1w"":""e4^0:09:59.9"", ""1b"":""e5^0:09:59.4"", ""2w"":""Nf3^0:09:59.4"", ""2b"":""d6^0:09:49.1"", ""3w"":""h3^0:09:57.4"", ""3b"":""c6^0:09:47.4"", ""4w"":""Bd3^0:09:48.2"", ""4b"":""a5^0:09:44.9"", ""5w"":""O-O^0:09:45.5"", ""5b"":""Nf6^0:09:34.5"", ""6w"":""Nc3^0:09:13.8"", ""6b"":""Qe7^0:09:29.2"", ""7w"":""Nh2^0:08:59.9"", ""7b"":""g6^0:09:12"", ""8w"":""b3^0:08:47.2"", ""8b"":""h5^0:09:04.9"", ""9w"":""Ba3^0:08:44.2"", ""9b"":""b5^0:08:59"", ""10w"":""Ne2^0:08:12.4"", ""10b"":""Bh6^0:08:55.4"", ""11w"":""Ng3^0:08:09"", ""11b"":""b4^0:08:40.7"", ""12w"":""Bb2^0:08:07"", ""12b"":""d5^0:08:35.6"", ""13w"":""c4^0:08:03.3"", ""13b"":""dxc4^0:08:25.7"", ""14w"":""Bxc4^0:07:52.8"", ""14b"":""Nbd7^0:08:15.5"", ""15w"":""d4^0:07:34.6"", ""15b"":""exd4^0:08:09.8"", ""16w"":""Bxd4^0:07:30.7"", ""16b"":""c5^0:08:01.6"", ""17w"":""Bxf6^0:07:27.8"", ""17b"":""Qxf6^0:07:54"", ""18w"":""Qe2^0:07:11.3"", ""18b"":""Ne5^0:07:46.8"", ""19w"":""Bd5^0:07:04.1"", ""19b"":""Ra7^0:07:24.3"", ""20w"":""Nf3^0:06:44.6"", ""20b"":""Ba6^0:07:14.9"", ""21w"":""Nxe5^0:06:36.3"", ""21b"":""Bxe2^0:07:02.2"", ""22w"":""Nxe2^0:06:34.5"", ""22b"":""Qxe5^0:07:00.5"", ""23w"":""Bc6+^0:06:24"", ""23b"":""Ke7^0:06:46.9"", ""24w"":""g3^0:05:58.1"", ""24b"":""Qb2^0:06:31.8"", ""25w"":""Nf4^0:05:31.7"", ""25b"":""Bxf4^0:06:23.6"", ""26w"":""gxf4^0:05:31.1"", ""26b"":""Rd8^0:06:13.5"", ""27w"":""Rfe1^0:04:45.4"", ""27b"":""Rc7^0:06:09.7"", ""28w"":""Bd5^0:04:31.8"", ""28b"":""Qc3^0:05:41.1"", ""29w"":""f5^0:04:21.4"", ""29b"":""g5^0:05:26"", ""30w"":""Rec1^0:03:28.7"", ""30b"":""Qxh3^0:05:14.4"", ""31w"":""Bc4^0:03:04.5"", ""31b"":""Qg4+^0:05:05.8"", ""32w"":""Kh2^0:02:47.2"", ""32b"":""Rd2^0:04:58.5"", ""33w"":""Rf1^0:02:10.4"", ""33b"":""Kf6^0:04:36"", ""34w"":""Rae1^0:01:39.5"", ""34b"":""Rxa2^0:04:21.3"", ""35w"":""e5+^0:01:38.2"", ""35b"":""Kxf5^0:04:16.8"", ""36w"":""Bd3+^0:01:29.4"", ""36b"":""Ke6^0:04:13.2"", ""37w"":""Bc4+^0:01:27.5"", ""37b"":""Ke7^0:04:08.3"", ""38w"":""e6^0:01:23.6"", ""38b"":""f6^0:03:59.4"", ""39w"":""Be2^0:01:05.6"", ""39b"":""Rxe2^0:03:51.8"", ""40w"":""Rxe2^0:01:01.2"", ""40b"":""Qxe2^0:03:49.2"", ""41w"":""Kg2^0:00:58.3"", ""41b"":""Qxe6^0:03:39.8"", ""42w"":""f3^0:00:57.4"", ""42b"":""Qxb3^0:03:37"", ""43w"":""Re1+^0:00:39.3"", ""43b"":""Kf7^0:03:34.5"", ""44w"":""Kf2^0:00:27"", ""44b"":""Qb2+^0:03:28.1"", ""45w"":""Kf1^0:00:26.1"", ""45b"":""Rd7^0:03:24"", ""46w"":""Re2^0:00:20.3"", ""46b"":""Qc1+^0:03:20"", ""47w"":""Kf2^0:00:19.5"", ""47b"":""Rd1^0:03:14.4"", ""48w"":""Kg3^0:00:09.6"", ""48b"":""Rg1+^0:03:10.8"", ""49w"":""Kh2^0:00:00.2"", ""49b"":""Rh1+^0:03:05.9""}"
12,"{""1w"":""d4^0:09:59.9"", ""1b"":""d5^0:09:59.7"", ""2w"":""e3^0:09:58.7"", ""2b"":""a6^0:09:56.5"", ""3w"":""Nc3^0:09:56.2"", ""3b"":""e6^0:09:54.2"", ""4w"":""a3^0:09:50.2"", ""4b"":""Nf6^0:09:53.4"", ""5w"":""Nf3^0:09:48.9"", ""5b"":""Nc6^0:09:52.5"", ""6w"":""Bd3^0:09:37.9"", ""6b"":""Be7^0:09:46.8"", ""7w"":""e4^0:09:28.4"", ""7b"":""dxe4^0:09:40.2"", ""8w"":""Bxe4^0:09:27.3"", ""8b"":""O-O^0:09:36"", ""9w"":""Bg5^0:09:13"", ""9b"":""Nxe4^0:09:32.5"", ""10w"":""Bxe7^0:09:04"", ""10b"":""Nxe7^0:09:28.9"", ""11w"":""Nxe4^0:09:02.2"", ""11b"":""Nc6^0:09:22.2"", ""12w"":""Qd3^0:08:44.4"", ""12b"":""Na5^0:09:20.6"", ""13w"":""O-O^0:08:35.8"", ""13b"":""b5^0:08:52.9"", ""14w"":""Neg5^0:08:33.4"", ""14b"":""g6^0:08:43.5"", ""15w"":""Qd2^0:08:06.2"", ""15b"":""Nc4^0:08:40.5"", ""16w"":""Qd3^0:07:35.7"", ""16b"":""Nxb2^0:08:25.7"", ""17w"":""Qc3^0:07:09.9"", ""17b"":""Nc4^0:08:16.4"", ""18w"":""a4^0:07:08.4"", ""18b"":""Bb7^0:08:09.5"", ""19w"":""axb5^0:07:03.9"", ""19b"":""axb5^0:08:08.9"", ""20w"":""Rxa8^0:07:01.5"", ""20b"":""Bxa8^0:08:06.4"", ""21w"":""Ne5^0:06:41.3"", ""21b"":""Qxg5^0:08:00"", ""22w"":""g4^0:06:18.6"", ""22b"":""Nxe5^0:07:37.1"", ""23w"":""dxe5^0:06:12.6"", ""23b"":""Qxg4+^0:07:29.2"", ""24w"":""Qg3^0:06:10.9"", ""24b"":""Qxg3+^0:07:08.4"", ""25w"":""hxg3^0:06:05.6"", ""25b"":""f6^0:07:07"", ""26w"":""Re1^0:06:00.5"", ""26b"":""fxe5^0:07:05"", ""27w"":""Rxe5^0:05:59"", ""27b"":""Rf6^0:07:04.8"", ""28w"":""Rxb5^0:05:56.6"", ""28b"":""c6^0:07:01.8"", ""29w"":""Rb8+^0:05:54.5"", ""29b"":""Rf8^0:06:58.5"", ""30w"":""Rb6^0:05:47.7"", ""30b"":""Rd8^0:06:49.4"", ""31w"":""Kg2^0:05:40.8"", ""31b"":""c5+^0:06:43.5"", ""32w"":""Kf1^0:05:32.1"", ""32b"":""c4^0:06:25.7"", ""33w"":""Rxe6^0:05:22.4"", ""33b"":""Bd5^0:06:15.3"", ""34w"":""Ra6^0:05:03.6"", ""34b"":""c3^0:06:05.2"", ""35w"":""Ra3^0:05:00.3"", ""35b"":""Bc4+^0:06:03.4"", ""36w"":""Kg1^0:04:52.5"", ""36b"":""Rd1+^0:05:53.6"", ""37w"":""Kh2^0:04:48.5"", ""37b"":""Rd2^0:05:41.4"", ""38w"":""Rxc3^0:04:41.6"", ""38b"":""Be6^0:05:25.3"", ""39w"":""Rc8+^0:04:33.7"", ""39b"":""Kg7^0:05:23.9"", ""40w"":""Rc7+^0:04:31.3"", ""40b"":""Kh6^0:05:22.8"", ""41w"":""Kg2^0:04:19.8"", ""41b"":""Bd5+^0:05:20.2"", ""42w"":""Kf1^0:04:14.5"", ""42b"":""Rd1+^0:05:19.3"", ""43w"":""Ke2^0:04:13.1"", ""43b"":""Rd4^0:04:58.7"", ""44w"":""Rd7^0:04:06"", ""44b"":""Re4+^0:04:47.7"", ""45w"":""Kd3^0:03:55.5"", ""45b"":""Bc6^0:04:29.1"", ""46w"":""Rc7^0:03:43.6"", ""46b"":""Re6^0:04:15.3"", ""47w"":""c4^0:03:26.5"", ""47b"":""Be4+^0:04:14.4"", ""48w"":""Ke2^0:03:14.6"", ""48b"":""g5^0:04:07.2"", ""49w"":""f3^0:03:11.1"", ""49b"":""Ba8+^0:03:53.6"", ""50w"":""Kf2^0:03:03.7"", ""50b"":""Rd6^0:03:27.9"", ""51w"":""c5^0:02:59.3"", ""51b"":""Re6^0:03:25.1"", ""52w"":""g4^0:01:56.1"", ""52b"":""Kg6^0:03:20.4"", ""53w"":""Ra7^0:01:50.4"", ""53b"":""Bd5^0:03:06.5"", ""54w"":""Rd7^0:01:46.5"", ""54b"":""Bc6^0:02:58"", ""55w"":""Ra7^0:01:30.5"", ""55b"":""h5^0:02:53.4"", ""56w"":""gxh5+^0:01:25.7"", ""56b"":""Kxh5^0:02:51.3"", ""57w"":""Rh7+^0:01:23.9"", ""57b"":""Kg6^0:02:46.8"", ""58w"":""Rc7^0:01:14.7"", ""58b"":""Bd5^0:02:44.4"", ""59w"":""Rd7^0:01:07.3"", ""59b"":""Bc6^0:02:41.3"", ""60w"":""Rc7^0:01:05.3"", ""60b"":""Ba4^0:02:40.6"", ""61w"":""Ra7^0:01:01.6"", ""61b"":""Bb5^0:02:40.2"", ""62w"":""Ra5^0:00:57.9"", ""62b"":""Be8^0:02:38.2"", ""63w"":""Ra1^0:00:49.8"", ""63b"":""Rf6^0:02:20.1"", ""64w"":""Ra8^0:00:39.5"", ""64b"":""Bb5^0:02:15.7"", ""65w"":""Ra5^0:00:34.4"", ""65b"":""Bc6^0:02:14.3"", ""66w"":""Ra6^0:00:19.8"", ""66b"":""Rxf3+^0:02:13.2"", ""67w"":""Ke2^0:00:12.9"", ""67b"":""Rf6^0:02:07"", ""68w"":""Ke3^0:00:11"", ""68b"":""Re6+^0:02:04.8"", ""69w"":""Kf2^0:00:05.2"", ""69b"":""Kh5^0:01:57.7"", ""70w"":""Kg3^0:00:03.6"", ""70b"":""g4^0:01:55.9"", ""71w"":""Rxc6^0:00:01.6"", ""71b"":""Rxc6^0:01:53.8""}"
