,001a,001b,002a,002b,003a,003b,004a,004b,005a,005b,006a,006b,007a,007b,008a,008b,009a,009b,010a,010b,011a,011b,012a,012b,013a,013b,014a,014b,015a,015b,016a,016b,017a,017b,018a,018b,019a,019b,020a,020b,021a,021b,022a,022b,023a,023b,024a,024b,025a,025b,026a,026b,027a,027b,028a,028b,029a,029b,030a,030b,031a,031b,032a,032b,033a,033b,034a,034b,035a,035b,036a,036b,037a,037b,038a,038b,039a,039b,040a,040b,041a,041b,042a,042b,043a,043b,044a,044b,045a,045b,046a,046b,047a,047b,048a,048b,049a,049b,050a,050b,051a,051b,052a,052b,053a,053b,054a,054b,055a,055b,056a,056b,057a,057b,058a,058b,059a,059b,060a,060b,061a,061b,062a,062b,063a,063b,064a,064b,065a,065b,066a,066b,067a,067b,068a,068b,069a,069b,070a,070b,071a,071b,072a,072b,073a,073b,074a,074b,075a,075b,076a,076b,077a,077b,078a,078b,079a,079b,080a,080b,081a,081b,082a,082b,083a,083b,084a,084b,085a,085b,086a,086b,087a,087b,088a,088b,089a,089b,090a,090b,091a,091b,092a,092b,093a,093b,094a,094b,095a,095b,096a,096b,097a,097b,098a,098b,099a,099b,100a,100b,101a,101b,102a,102b,103a,103b,104a,104b,105a,105b,106a,106b,107a,107b,108a,108b,109a,109b,110a,110b,111a,111b,112a,112b,113a,113b,114a,114b,115a,115b,116a,116b,117a,117b,118a,118b,119a,119b,120a,120b,121a,121b,122a,122b,123a,123b,124a,124b,125a,125b,126a,126b,127a,127b,128a,128b,129a,129b,130a,130b,131a,131b,132a,132b,133a,133b,134a,134b,135a,135b,136a,136b,137a,137b,138a,138b,139a,139b,140a,140b,141a,141b,142a,142b,143a,143b,144a,144b,145a,145b,146a,146b,147a,147b,148a,148b,149a,149b,150a
378,e4,e5,Nf3,Nc6,Bc4,Qe7,d3,d6,O-O,Bg4,Bg5,Qd7,Nc3,Bxf3,Qxf3,f6,Bh4,g5,Bg3,Nd4,Qe2,Nxe2+,Nxe2,Be7,d4,exd4,Nxd4,d5,Bxd5,Bc5,Rad1,O-O-O,Be6,Qxe6,Nxe6,Rxd1,Rxd1,Ne7,Nxc5,Nc6,Ne6,Nb4,c3,Nxa2,e5,fxe5,Bxe5,Re8,f4,Rxe6,Re1,gxf4,Kf2,Kd7,Bxf4,Rxe1,Kxe1,Nc1,Bxc1,h5,h4,b5,Kf2,a5,b3,b4,cxb4,axb4,Bd2,c5,Ke3,Kc6,Kd3,Kb5,g3,Ka5,Be3,Kb5,Bf2,Kc6,Kc4,Kb6,Bxc5+,Kc6,Kxb4,Kd5,Kb5,Ke4,b4,Kd5,Kb6,Ke4,b5,Kd5,Be7,Kc4,Bd8,Kd5,Kc7,Kc5,b6,Kb5,b7,Ka6,b8,Ka5,Kd7+,Ka4,Qa7+,Kb3,Bf6,Kc4,Qd4+,Kb5,g4,hxg4,Qxg4,Kc5,h5,Kd5,h6,Kc5,h7,Kd5,h8,Kc5,Be7+,Kd5,Qhh5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,e4,e5,Nf3,d6,Nc3,c5,Bb5+,Bd7,Bc4,Nc6,Bd5,g6,O-O,Bg7,Re1,Nge7,Bxc6,Bxc6,d3,a6,g3,f5,Bg5,fxe4,dxe4,h6,Bxe7,Qxe7,b3,d5,exd5,Bd7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,e4,b6,e5,e6,d4,Bb7,Nf3,d5,Nc3,c5,Bg5,f6,exf6,gxf6,Bf4,cxd4,Nxd4,e5,Ne6,Qd6,Nxf8,Kxf8,Be3,Nd7,Qd2,Ne7,Bh6+,Kf7,O-O-O,a6,f4,b5,fxe5,fxe5,Bg5,h6,Bxe7,Kxe7,Be2,b4,Nxd5+,Bxd5,Qxd5,Qxd5,Rxd5,Ke6,Bf3,Rad8,Ra5,Kf5,Rxa6,e4,Be2,Nc5,Rb6,Rd7,Rxb4,Rhd8,Rc4,Ne6,Rc6,Nd4,Bb5,Nxc6,Bxc6,Rd6,Bb5,Kf4,c4,e3,b4,e2,c5,Rd1+,Rxd1,exd1,Kb2,Qd4+,Kb3,Re8,a4,Re3+,Ka2,Qd2+,Kb1,Re1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,e4,e5,Qh5,Nc6,Bc4,Qe7,Nf3,Nf6,Qf5,d6,Qg5,h6,Qg3,Nh5,Qh4,Qxh4,Nxh4,g5,Nf5,Bxf5,exf5,f6,Nc3,O-O-O,Nd5,Nd4,c3,Nc2+,Kf1,Nxa1,d4,Nc2,b3,exd4,cxd4,Nxd4,Ba3,c6,Ne3,d5,Bd3,Bxa3,g4,Nf4,Rg1,Nxd3,Kg2,Ne2,Rd1,Nef4+,Kf3,Rde8,h4,Bc5,hxg5,hxg5,b4,Bxe3,fxe3,Rh3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,e4,b6,e5,Nc6,Nf3,e6,d4,Bb7,Bb5,Bb4+,Bd2,Be7,O-O,a6,Bxc6,dxc6,Nc3,Qd7,Re1,f6,g3,O-O-O,a4,g5,a5,b5,Ne4,f5,Nexg5,Bxg5,Bxg5,Rf8,Bh6,Nxh6,c3,Nf7,b4,h5,Qc1,Qd5,Qd1,h4,Rb1,hxg3,fxg3,Rfg8,Nh4,Rxh4,Qe2,Re4,Qf2,Rxe1+,Rxe1,Ng5,h4,Nf3+,Kg2,Nxe1+,Kf1,Nd3,Qe2,Rxg3,Qh5,Qf3+,Qxf3,Rxf3+,Ke2,Rh3,Kd2,Nf4,Kc2,Rxh4,Kd2,Rh3,Kc2,Nd5,Kb3,Rxc3+,Kb2,Rc4,Kb3,Rxb4+,Ka3,Rxd4,Kb2,Re4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,e4,e5,Nf3,Nc6,Nc3,Bb4,d3,Nf6,a3,Bc5,b4,Bb6,d4,Nxd4,Nxd4,Bxd4,Bc4,Bxc3+,Bd2,Bxa1,Qxa1,d6,Bg5,h6,Bxf6,Qxf6,O-O,Be6,Bxe6,fxe6,Qd1,O-O,Re1,Qxf2+,Kh1,c6,Rf1,Qxf1+,Qxf1,Rxf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,e4,e5,Qh5,Nc6,Bc4,Qe7,Qxf7+,Qxf7,Bxf7+,Kxf7,Nf3,Bc5,O-O,Nf6,d3,Re8,Ng5+,Kg8,Nc3,h6,Nf3,Nd4,Ne1,Ne2+,Nxe2,d6,h3,Be6,Nc3,Nh5,Nb5,Rac8,c3,a6,d4,Bb6,d5,Bd7,Na3,c6,c4,cxd5,cxd5,Rf8,Be3,Bxe3,fxe3,Ng3,Rxf8+,Rxf8,Nf3,Ne2+,Kh1,Ng3+,Kg1,Nxe4,Nc4,Rf6,Kh2,b5,Nb6,Be8,Rc1,Nc5,b4,Nd7,Nxd7,Bxd7,e4,g5,Rc7,Rf7,Rc6,Rf6,Rxa6,Kf7,a4,Ke8,Ra8+,Ke7,a5,Rf4,a6,Rxe4,a7,Rc4,Rb8,Rc8,Rxc8,Bxc8,a8,Bb7,Qxb7+,Kf6,Qxb5,Kf5,Qd3+,e4,Qd1,exf3,gxf3,g4,Kg2,gxf3+,Kxf3,h5,Qd3+,Kg5,Kg3,h4+,Kh2,Kf4,b5,Kg5,b6,Kf6,Qe3,Kf5,b7,Kg6,b8,Kh5,Qf3+,Kg6,Qxd6+,Kg5,Qff4+,Kh5,Qdh6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,e4,e6,e5,d5,d4,f5,exf6,Nxf6,Nf3,Bb4+,c3,Ba5,b4,Bb6,Ne5,Nc6,Bf4,h6,Bb5,g5,Nxc6,bxc6,Bxc6+,Bd7,Bxd7+,Qxd7,Be5,Rg8,Bxf6,Qf7,Be5,O-O-O,O-O,a5,bxa5,Bxa5,Qa4,Bb6,Qa8+,Kd7,Qb7,Rc8,Nd2,Qf5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,e4,e5,d4,exd4,Qxd4,Nc6,Qc4,Nf6,e5,Nh5,Qd5,Be7,Bc4,O-O,Qf3,g6,e6,dxe6,Nc3,Ne5,Qe3,Nxc4,Qd3,Ne5,Qxd8,Bxd8,Nb5,Bf6,Bh6,Rd8,Rd1,Rxd1+,Kxd1,Bd7,Nxc7,Rc8,Nb5,Bxb5,Nf3,Nxf3,gxf3,Bd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,e4,e5,Nf3,Qf6,Nc3,Bc5,Qe2,d6,a3,Nc6,b4,Bd4,Nd5,Qg6,Nxd4,Nxd4,Qd3,Nb5,Be2,Qxg2,Qf3,Qg5,Bxb5+,c6,Nc7+,Kd8,Nxa8,cxb5,d3,Qg6,Qg3,Bg4,Be3,Nf6,Bxa7,Nh5,Qg1,Kd7,Nb6+,Kc7,Nd5+,Kc6,Ne3,Bf3,Qxg6,fxg6,Rg1,Ra8,Bd4,exd4,Ng4,Nf4,Rg3,Bh1,f3,Rf8,Nf2,Bg2,O-O-O,Ne2+,Kd2,Nxg3,Rg1,Bxf3,Rxg3,h5,Rxg6,Bg4,Rxg7,Rxf2+,Ke1,Rxc2,Rg5,Rxh2,Rg8,Be2,Rc8+,Kd7,Rc2,h4,Rxe2,Rxe2+,Kxe2,h3,Kf1,h2,Kg2,d5,Kxh2,dxe4,Kg2,exd3,Kf2,Ke6,Ke1,Ke5,Kd2,Ke4,Kd1,Ke3,Ke1,d2+,Kd1,d3,a4,bxa4,b5,a3,b6,a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,e4,e5,Qh5,Nc6,Bb5,Qe7,Nf3,Nf6,Qg5,a6,Bxc6,bxc6,Qxe5,Qxe5,Nxe5,Nxe4,d3,Nc5,Be3,d6,Nxc6,Bd7,Nd4,Be7,Nc3,Bf6,Nd5,O-O-O,O-O-O,Rde8,Rde1,Bxd4,Bxd4,Rxe1+,Rxe1,Ne6,Bc3,Bc6,Ne7+,Kd7,Nf5,g6,Bxh8,gxf5,g3,Ng5,f4,Nf3,Re3,Bd5,h4,Nh2,Re1,Nf3,Re3,Nh2,Kd1,Bxa2,Ke1,Be6,d4,Ng4,Ra3,Ke8,Rxa6,Ke7,Ra7,Kd7,c3,Ne3,Kd2,Nc4+,Kc2,d5,Be5,Ke7,Rxc7+,Kd8,Ra7,h5,b3,Ne3+,Kd3,Ng4,b4,Kc8,b5,Nxe5+,Ke3,Kb8,b6,Nc4+,Kd3,Nxb6,Kc2,Kxa7,Kb3,Ka6,Kb4,f6,Kc5,Nc8,Kc6,Ne7+,Kd6,Nc8+,Kxe6,Kb6,Kxd5,Kc7,Ke6,Kb6,d5,Kb5,d6,Nxd6,Kxd6,Kc4,Ke6,Kxc3,Kxf6,Kd3,Kxf5,Ke3,Kg5,Kf3,g4,hxg4,h5,g3,Kh4,g2,h6,g1,h7,Qg7,h8,Qxh8+,Kg5,Qg8+,Kf5,Qg4+,Ke5,Ke3,f5,Qg7+,f6,Qf7,Kf5,Kd4,Kg5,Kd5,Kf5,Kd6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,e3,e5,Qh5,Nc6,Bc4,Qe7,Nf3,Nf6,Qh3,d6,Qh4,Be6,Bxe6,Qxe6,Ng5,Qe7,Nc3,h6,Nge4,Nxe4,Qxe4,O-O-O,Nd5,Qd7,b3,Kb8,Ba3,b6,Qa4,g5,b4,f5,b5,Na5,Nf6,Qf7,Bb4,Qxf6,Bxa5,bxa5,Qxa5,f4,Rb1,fxe3,dxe3,Qf5,Rb2,e4,O-O,Qe5,Rd1,Qxb2,Rd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,e4,e5,Nf3,Nf6,Nc3,Bc5,Nxe5,O-O,Bc4,d6,Nxf7,Rxf7,Bxf7+,Kxf7,d3,Bg4,f3,Bh5,g4,Bg6,Bg5,Nc6,Qd2,Nd4,Bxf6,Nxf3+,Ke2,Qxf6,Raf1,d5,Qd1,dxe4,Nxe4,Re8,Rxf3,Rxe4+,dxe4,Bf5,exf5,Qe5+,Kf1,Qxb2,h4,Qb5+,Qe2,Qb1+,Qe1,Qxc2,Rc3,Qf2+,Qxf2,Bxf2,Kxf2,g6,fxg6+,hxg6,h5,gxh5,gxh5,c6,h6,Kg8,h7+,Kg7,h8,Kf7,Rf3+,Ke6,Qe8+,Kd5,Rf5+,Kd6,Qe5+,Kd7,Rf7+,Kc8,Rh8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,e4,e5,Nf3,d6,Nc3,c6,d4,b5,dxe5,dxe5,Nxe5,Qxd1+,Nxd1,c5,c4,b4,b3,g6,Be2,Bg7,Nd3,Bxa1,Nxc5,Nf6,Bb2,Bxb2,Nxb2,Nc6,O-O,O-O,Rd1,Bf5,Bd3,a5,Nba4,Rad8,f3,Ne5,g4,Nxf3+,Kf2,Bxg4,Kg3,Nxh2,Kxh2,Bxd1,Nb7,Rxd3,Nac5,Rd2+,Kg3,Nh5+,Kh4,Rh2+,Kg5,Kg7,Nd7,f6+,Nxf6,Nxf6,Kf4,Rf7,e5,Nh5+,Kg5,Rxb7,e6,Rb5+,c5,Rxc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,e4,e5,Nf3,Nc6,Bb5,Nf6,Bxc6,bxc6,Nc3,d6,d4,exd4,Nxd4,c5,Nf3,Bb7,e5,dxe5,Nxe5,Qxd1+,Nxd1,Bd6,Nc4,Bxg2,Rg1,Bd5,Nce3,Bc6,Rxg7,Bxh2,Ng4,Be5,Nxe5,Be4,Rxf7,Bxc2,Rxf6,Rf8,Bg5,Rxf6,Bxf6,a6,Nc3,Rb8,b3,Rb6,Rc1,Bf5,Nd5,Re6,Nxc7+,Kf8,Nxe6+,Bxe6,Rxc5,h5,Rc6,Bd7,Rxa6,Ke8,Ra8+,Bc8,Rxc8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,e4,e5,Nf3,Nf6,Nxe5,Nxe4,d3,d6,dxe4,dxe5,Qxd8+,Kxd8,Bg5+,f6,Be3,Bb4+,c3,Ba5,b4,Bb6,Bxb6,axb6,Bc4,c6,O-O,b5,Bd3,Be6,Nd2,Rxa2,Rxa2,Bxa2,Nf3,Ke8,Nh4,g5,Nf5,Kf7,Nd6+,Kg7,Nxb7,Bc4,Bxc4,bxc4,Nc5,Rd8,g3,g4,Kg2,Kh8,Ra1,Nd7,Ne6,Rb8,Ra7,Nb6,f3,gxf3+,Kxf3,Ra8,Rxa8+,Nxa8,Nd8,Nb6,Nxc6,Na4,b5,Nxc3,Ke3,Na4,Kd2,c3+,Kc2,Kg8,Kb3,Kf7,Na5,Ke6,Nc4,Kd7,b6,Kc6,h3,Nxb6,Nxb6,Kxb6,Kxc3,Kc6,Kd3,Kd6,Ke3,Ke6,h4,f5,exf5+,Kxf5,Kf3,e4+,Ke3,Kg4,Kf2,Kh3,h5,h6,Ke3,Kg4,Kxe4,Kxg3,Kf5,Kh4,Kg6,Kg4,Kxh6,Kf5,Kh7,Kg5,h6,Kh5,Kg7,Kg5,h7,Kh5,h8,Kg4,Qc8+,Kf4,Qc7+,Ke3,Qc5+,Kf4,Kf6,Kg3,Qc4,Kf3,Kf5,Kg3,Qb3+,Kf2,Kf4,Kg2,Qc2+,Kh3,Qc3+,Kh4,Qe5,Kh3,Qf5+,Kg2,Qg4+,Kf2,Qg3+,Ke2,Qf3+,Kd2,Qe3+,Kc2,Ke4,Kb2,Kd4,Kc2,Qd3+,Kb2,Kc4,Kc1,Qc3+,Kd1,Kd4,Ke2,Qd3+,Kf2,Qe3+,Kg2,Kd3,Kf1,Qe2+,Kg1,Ke3,Kh1,Kf3,Kg1,Qg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,e4,e5,Nf3,Nc6,Nc3,d6,Bb5,Qd7,d3,Nf6,Be3,a6,Bc4,b5,Bb3,h6,Qe2,g5,h4,Bg7,hxg5,hxg5,Rxh8+,Bxh8,Nxg5,Qg4,Qxg4,Nxg4,Bxf7+,Kf8,Bd5,Nxe3,fxe3,Nb4,Bxa8,Nxc2+,Ke2,Nxa1,Nd5,Bg4+,Kf2,Bg7,Nxc7,Bh6,Kg3,Bxg5,Kxg4,Bxe3,Nxa6,Nc2,Nc7,Kg7,Nxb5,Kf6,Nxd6,Ne1,Nc4,Bc1,b4,Nxg2,b5,Ne3+,Nxe3,Bxe3,b6,Bxb6,Kf3,Bc5,Ke2,Bd4,Kd2,Bg1,Kc3,Bf2,a4,Be1+,Kc4,Ke6,Kc5,Kf6,a5,Bxa5,d4,exd4,Kxd4,Bc7,Kd5,Ke7,Bc6,Bd6,e5,Bc7,e6,Bd6,Bb5,Bc7,Bc4,Bd6,Ke4,Bc7,Kf5,Bd6,Kg6,Bc7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,e4,e5,Nf3,Nc6,Nc3,d6,Bb5,Nf6,O-O,Qd7,Re1,a6,Ba4,b5,Bb3,d5,Nxd5,Nxd5,Bxd5,Bb7,Bxc6,Bxc6,Nxe5,Qe6,d4,Bb4,c3,Bd6,Nxc6,O-O,Bg5,f6,Bh4,g5,Bg3,Bxg3,d5,Qd6,fxg3,f5,Qh5,Qf6,exf5,Qxf5,Ne7+,Kg7,Nxf5+,Rxf5,Re7+,Kf6,Qf7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,e4,e5,Nf3,Bc5,Nxe5,Qf6,Qe2,b6,Ng4,Qh4,h3,Ba6,Qf3,h5,Bxa6,hxg4,Qxg4,Qxg4,hxg4,Rxh1+,Bf1,Nf6,c3,Nxe4,b4,Bxf2+,Ke2,Bh4,Na3,Ng3+,Kf2,Rxf1+,Ke3,Bg5+,Kd3,Nc6,b5,Ne5+,Kd4,f6,Kd5,O-O-O,d4,Nd3,Bxg5,fxg5,Rxf1,Nxf1,Nc2,Nf4+,Ke4,Ng3+,Kf3,Nge2,Ne3,Rf8,Nd5,Nc1,Ne7+,Kb7,a4,Ng6+,Ke4,Nxe7,Ke5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,e4,e6,Nf3,g6,e5,Be7,d4,Bb4+,Bd2,Bxd2+,Qxd2,Ne7,Nc3,O-O,Bc4,d5,Bd3,c6,O-O-O,Nd7,b3,Nb6,Kb1,f6,exf6,Rxf6,h4,h6,g3,g5,hxg5,Rxf3,gxh6,Qf8,h7+,Kh8,Rdf1,Nd7,Qe2,Rf7,Bg6,Nxg6,Rh6,Qxh6,f4,Qxh7,Qxe6,Ndf8,Na4,Bxe6,Nc5,b6,Nxe6,Nxe6,Re1,Nxd4,Re3,c5,Rf3,b5,Re3,a5,Re1,c4,bxc4,dxc4,Re4,Nc6,Re6,Nd8,Re8+,Kg7,Re2,b4,Re3,a4,c3,b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,e4,e5,Qf3,Nc6,Bc4,Qe7,Ne2,Nf6,Na3,d6,Nb5,Be6,b3,Bxc4,bxc4,O-O-O,Qa3,Kd7,Nxa7,Nxa7,Qxa7,g6,Qxb7,Bh6,Qb5+,c6,Qb7+,Ke8,Qxc6+,Rd7,Ba3,Bg5,c5,d5,exd5,Nxd5,Qc8+,Rd8,Qa6,Nf4,c6,Nxe2,Bxe7,Kxe7,Kxe2,Rxd2+,Kf3,Rhd8,Qa3+,R2d6,c7,Rc8,Kg4,Bf6,Rhd1,Kf8,Qxd6+,Be7,Qd7,Rxc7,Qxc7,Bf6,Rab1,e4,Rb7,h5+,Kf4,Bh4,Qxf7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
