,001a,001b,002a,002b,003a,003b,004a,004b,005a,005b,006a,006b,007a,007b,008a,008b,009a,009b,010a,010b,011a,011b,012a,012b,013a,013b,014a,014b,015a,015b,016a,016b,017a,017b,018a,018b,019a,019b,020a,020b,021a,021b,022a,022b,023a,023b,024a,024b,025a,025b,026a,026b,027a,027b,028a,028b,029a,029b,030a,030b,031a,031b,032a,032b,033a,033b,034a,034b,035a,035b,036a,036b,037a,037b,038a,038b,039a,039b,040a,040b,041a,041b,042a,042b,043a,043b,044a,044b,045a,045b,046a,046b,047a,047b,048a,048b,049a,049b,050a,050b,051a,051b,052a,052b,053a,053b,054a,054b,055a,055b,056a,056b,057a,057b,058a,058b,059a,059b,060a,060b,061a,061b,062a,062b,063a,063b,064a,064b,065a,065b,066a,066b,067a,067b,068a,068b,069a,069b,070a,070b,071a,071b,072a,072b,073a,073b,074a,074b,075a,075b,076a,076b,077a,077b,078a,078b,079a,079b,080a,080b,081a,081b,082a,082b,083a,083b,084a,084b,085a,085b,086a,086b,087a,087b,088a,088b,089a,089b,090a,090b,091a,091b,092a,092b,093a,093b,094a,094b,095a,095b,096a,096b,097a,097b,098a,098b,099a,099b,100a,100b,101a,101b,102a,102b,103a,103b,104a,104b,105a,105b,106a,106b,107a,107b,108a,108b,109a,109b,110a,110b,111a,111b,112a,112b,113a,113b,114a,114b,115a,115b,116a,116b,117a,117b,118a,118b,119a,119b,120a,120b,121a,121b,122a,122b,123a,123b,124a,124b,125a,125b,126a,126b,127a,127b,128a,128b,129a,129b,130a,130b,131a,131b,132a,132b,133a,133b,134a,134b,135a,135b,136a,136b,137a,137b,138a,138b,139a,139b,140a,140b,141a,141b,142a,142b,143a,143b,144a,144b,145a,145b,146a,146b,147a,147b,148a,148b,149a,149b,150a
10,e4,e5,Nf3,Nc6,c3,Nf6,b4,Nxe4,d3,Nf6,d4,exd4,cxd4,d5,a3,Bf5,b5,Na5,a4,Nc4,Qe2+,Be7,Nbd2,O-O,Ba3,Nxa3,h3,Re8,g4,Bb4,gxf5,Rxe2+,Kxe2,Qe7+,Kd1,Bxd2,Kxd2,Nc4+,Kd1,Ne4,h4,Nxf2+,Kc2,Nxh1,Bxc4,dxc4,Kc3,c6,Rxh1,cxb5,Re1,Qf6,axb5,h6,Kxc4,Rc8+,Kd3,Qxf5+,Ke3,Re8+,Kd2,Rxe1,Kxe1,Qxf3,Kd2,g5,hxg5,hxg5,b6,axb6,d5,Qxd5+,Kc2,g4,Kb2,g3,Ka3,g2,Kb4,g1,Ka4,Qg4+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,e4,e5,a3,Nf6,Nc3,c6,Nf3,d5,Nxe5,dxe4,Qe2,b5,Ng4,h5,Nxf6+,gxf6,Qxe4+,Be7,Qxc6+,Nxc6,Bxb5,Bd7,O-O,Ne5,d4,a6,Bd3,Nc6,Be4,Nxd4,Bxa8,Nxc2,Rb1,Qxa8,b4,Bb5,Rd1,Bc5,Rd2,Nd4,bxc5,Ne2+,Kh1,Nxc3,Bb2,Nxb1,Re2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,e4,e5,Nf3,f6,Bc4,c6,d4,d5,dxe5,fxe5,exd5,cxd5,Bb5+,Bd7,Bxd7+,Qxd7,Nxe5,Qd6,Bf4,Nd7,Nxd7,Qxf4,Nc5,Qd6,Qd4,Qxc5,Qe5+,Be7,Qxg7,Qxc2,O-O,Bf6,Re1+,Kd8,Qf8+,Kd7,Qxa8,Qc8,Qxc8+,Kxc8,Nc3,d4,Nd5,Ne7,Rac1+,Kd7,Nxf6+,Kd6,Ne4+,Kd5,Nf6+,Kd6,Re4,Nf5,Ne8+,Kd7,Nf6+,Kd6,Rf4,Rf8,Nxh7,Rf6,Nxf6,d3,Rxf5,d2,Rd1,b6,Rxd2+,Ke6,Rf3,Kf7,Nd5+,Ke6,Nc3,Ke5,Re3+,Kf4,Rdd3,Kg4,f3+,Kf4,g3+,Kf5,f4,a5,h4,b5,Kf1,a4,Nxb5,a3,bxa3,Kg4,Kg2,Kf5,a4,Kg4,a5,Kf5,a6,Kg4,a7,Kf5,a8,Kg4,Qc8+,Kh5,Re5+,Kh6,Rd6+,Kg7,Qc7+,Kf8,Rd8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,e4,e5,Nf3,Qg5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,e4,e5,Nf3,Nc6,c3,Nf6,d3,d6,c4,Be6,b3,Qd7,a4,O-O-O,g3,b6,h4,g6,Ng1,h6,Ne2,g5,hxg5,Ng4,f3,Ne3,Qd2,Nxf1,Rxf1,hxg5,f4,gxf4,gxf4,exf4,Nxf4,Bh6,Ba3,Nd4,Bb2,Bxf4,Qxf4,c5,Nd2,Nc2+,Kd1,Nxa1,Bxa1,Rhg8,Bf6,Rde8,Rh1,Bg4+,Ke1,Qe6,Nf1,Rg6,Bg5,f6,Bh4,Rh8,Ne3,f5,exf5,Qe5,Qxe5,dxe5,fxg6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,e4,e5,d3,Nf6,Nf3,Nc6,c4,Bc5,b3,d6,h4,Nd4,Nc3,Nxf3+,gxf3,Bd4,Bb2,c6,Qc2,Nh5,Ne2,Bb6,Bc1,O-O,f4,f5,fxe5,fxe4,exd6,Bxf2+,Kd1,Qxd6,Bg2,Bg4,Bxe4,Ng3,Rh2,Nxe4,a4,Bxe2+,Kxe2,Qxh2,Bg5,Bd4+,Kd1,Rf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,e4,c5,d3,e6,Nh3,Nc6,b3,b6,a4,Nf6,g3,g6,Nf4,Bg7,h4,O-O,Bh3,e5,Nd5,Bb7,Bg5,Nd4,Qf3,Bxd5,Qd1,Bc6,Nc3,h6,Bxf6,Qxf6,Qd2,Rad8,O-O,d5,Rae1,Nf3+,Kg2,Nxd2,Rh1,d4,Ne2,g5,hxg5,Qxg5,Rd1,Bd7,Ng1,Bxh3+,Nxh3,Qg4,Rxd2,a6,Rdd1,b5,Ng1,Qxd1,Nf3,Qxc2,Nxe5,Bxe5,axb5,axb5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,e4,Nf6,Nc3,e5,Bc4,g5,Nf3,h6,d3,Bd6,h4,gxh4,Nxh4,c5,Nf5,Bc7,Ng7+,Kf8,Bg5,Kxg7,Bxh6+,Rxh6,Rg1,d6,Qf3,Ba5,O-O-O,Bg4,Qg3,b6,Nd5,Rg6,f4,Nbd7,Rdf1,Bb4,f5,Rh6,Rh1,Rxh1,Rxh1,Qe8,Nc7,Qg8,Nxa8,Qxa8,Qh4,Qh8,Qg5+,Kf8,Rxh8+,Ke7,Bb5,Nf8,Rh6,Nd7,Bxd7,Kxd7,Qxf6,Kc7,Qxf7+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,e4,e5,Nf3,d6,d4,f6,dxe5,fxe5,Bg5,Qd7,Nc3,h6,Be3,b6,Bb5,c6,Bc4,c5,Bxg8,Rxg8,Qd5,Qf7,Qxa8,Qc7,Qd5,Bb7,Qxg8,g5,Nd5,Qf7,Qxf7+,Kxf7,O-O-O,a5,h3,Nc6,c3,Ba6,g3,Be2,Nxe5+,Ke6,Rde1,Bf3,Nxf3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,e4,e6,d4,Qf6,Be3,Bb4+,c3,Ba5,b4,Bb6,g3,e5,Ne2,exd4,cxd4,Bxd4,Nxd4,Qd6,a3,c5,Bf4,Qb6,Nb3,cxb4,Bh3,bxa3,O-O,Qb4,e5,f6,exf6,gxf6,Re1+,Ne7,Nd4,Qa5,Nf5,a2,Nxe7,Kd8,Nxc8,Kxc8,Qc1+,Nc6,Nc3,Re8,Rxe8+,Nd8,Ne4+,Qc7,Nd6+,Kb8,Rxd8+,Qxd8,Nf7+,Qc7,Bxc7+,Kc8,Bd8+,Kb8,Qc7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
